Datetime,Tweet_Id,Tweet,Username,Reply_Count,Retweet_Count,Like_Count,Bank,Tweet_Clean,Sentiment,Hate_Speech,Offensive,Topic_Sport
2014-07-25 09:14:45+00:00,492598821223153665,s/o to @FNBSA @Rbjacobs for assisting with my fraud claim :) was happy to see my money in my bank acc again this morning.,Mkh0nzeniMdluli,2,1,0,fnb,so to for assisting with my fraud claim was happy to see my money in my bank acc again this morning,positive,non-hate,non-offensive,business_&_entrepreneurs
2014-05-08 10:32:57+00:00,464352245027700736,Nedbank Cup Most Promising Player of the Tournament &gt;&gt; Kwanda Mngonyama (Wits) #slnews,CliffThuddy,0,0,0,nedbank,nedbank cup most promising player of the tournament gtgt kwanda mngonyama wits,positive,non-hate,non-offensive,sports_&_gaming
2017-06-27 10:01:56+00:00,879640934790647809,Supertouch Events will be exhibiting at the Absa Franchise Business Festival to answer your questions be there. https://t.co/oogkXlSKpi https://t.co/NSyzsLCrRO,franchisingSA,0,0,0,absa,supertouch events will be exhibiting at the absa franchise business festival to answer your questions be there,neutral,non-hate,non-offensive,business_&_entrepreneurs
2012-02-26 18:20:01+00:00,173834717530034176,RT @Zenimil: Goodluck to all those juniors taking FnB paper later on! May all the food you eat and drinks you drink bless you!,Huilinception,0,0,0,fnb,goodluck to all those juniors taking fnb paper later on may all the food you eat and drinks you drink bless you,positive,non-hate,non-offensive,daily_life
2018-02-21 06:53:59+00:00,966204336656273409,I could win R1000 from @Absa cause I chose to receive #SinTax info during #Budget2018. Want to win? Opt-in.,sbuda_maloya00,0,0,0,absa,i could win r from cause i chose to receive info during want to win optin,neutral,non-hate,non-offensive,sports_&_gaming
2016-05-06 10:46:38+00:00,728536444856229888,Going down: @overtheedge today @BedrockDetroit #FNB #Detroit @CampusMartius @JasonClay75 #charity https://t.co/Yiq5kJHB23,detlistener,1,2,2,fnb,going down today,neutral,non-hate,non-offensive,daily_life
2011-06-15 09:07:57+00:00,80924492217581568,F*ck standard bank -____- glad I'm not with them nomore uggh,Chaotic_Minx,0,0,0,standard_bank,fck standard bank glad im not with them nomore uggh,negative,non-hate,offensive,business_&_entrepreneurs
2011-05-09 10:12:31+00:00,67532391132037120,Absa: house prices are still under pressure - http://ow.ly/4Q6IF,JustMoneySA,0,0,0,absa,absa house prices are still under pressure,negative,non-hate,non-offensive,business_&_entrepreneurs
2013-01-22 10:02:26+00:00,293659882937262080,"FNB You Can Help - Live Broadcast, a message from South Africa's children http://t.co/Jm8QSjhU via @youtube",ZandileMcinziba,0,0,0,fnb,fnb you can help live broadcast a message from south africa children via,neutral,non-hate,non-offensive,pop_culture
2021-03-25 10:25:39+00:00,1375031116000866309,"@Rbjacobs @Nedbank @StandardBankZA @FNBSA So - having ALREADY waited TWO WEEKS for a call - THIS is what @FNBSA regards as ""High Priority?"" 🤪🤪 https://t.co/SosZxqz5oY",Dick_Muller,1,0,0,fnb,so having already waited two weeks for a call this is what regards as high priority,neutral,non-hate,non-offensive,daily_life
2022-03-07 08:48:46+00:00,1500755325623975940,"@DJNAVES @AbsaSouthAfrica @METROFMSA Truth- nsfas will pay for your studies and give you meal allowance 
Lies- you will find a job immediately after graduation and live your best ever life by affording whatever you want in your life #AbsaStudent @METROFMSA",maeyanemaila,0,0,0,absa,truth nsfas will pay for your studies and give you meal allowance lies you will find a job immediately after graduation and live your best ever life by affording whatever you want in your life,positive,non-hate,non-offensive,daily_life
2015-07-14 12:06:15+00:00,620927285772832768,@Legal_Attache All parties must have those docs handy with details of the trust. Also pls call our team on 0860 040 302 for more info.,AbsaSouthAfrica,1,0,0,absa,all parties must have those docs handy with details of the trust also pls call our team on for more info,neutral,non-hate,non-offensive,daily_life
2022-08-05 09:31:29+00:00,1555486640319119360,"Capitec was supposed to be a Tarven shap Shap🔥🔥🔥😃🤞🏽

#capitec https://t.co/X5oeI9ipAh",TheRealest201,8,23,94,capitec,capitec was supposed to be a tarven shap shap,neutral,non-hate,non-offensive,business_&_entrepreneurs
2022-09-06 14:11:18+00:00,1567153471450669059,@K_McGrecoR @Nedbank Let’s do it 🫡. Same deadline? #TakeYourMoneySeriously,Katlego_Mack,0,0,0,nedbank,lets do it same deadline,neutral,non-hate,non-offensive,daily_life
2016-04-20 13:47:37+00:00,722783785675194368,#saveoakbayjobs - @FNBSA @StandardBankZA @Nedbank @Absa - pls open our accounts https://t.co/fPmEcGdtBp,clintonpillay12,0,1,0,fnb,pls open our accounts,neutral,non-hate,non-offensive,daily_life
2012-09-28 10:08:51+00:00,251624504638459904,RT @Mabine_Seabe: ANC could benefit from R1bn Capitec Bank bonanza | http://t.co/XHKOGDLw,thopanemaloka,0,0,0,capitec,anc could benefit from rbn capitec bank bonanza,positive,non-hate,non-offensive,business_&_entrepreneurs
2022-04-03 10:08:07+00:00,1510559766296342528,Heeban now this guy cries over long Capitec queues saying foreigners make lines long?! Aowa banna now this warrants mental check-up struu😲😲😲,OJay92122825,3,3,8,capitec,heeban now this guy cries over long capitec queues saying foreigners make lines long aowa banna now this warrants mental checkup struu,negative,non-hate,non-offensive,business_&_entrepreneurs
2015-02-19 08:09:28+00:00,568321455957647360,"Standard Bank braamfontein branch, awesome service n friendly stuff",TruthOrPeace_,1,0,0,standard_bank,standard bank braamfontein branch awesome service n friendly stuff,positive,non-hate,non-offensive,business_&_entrepreneurs
2017-04-03 13:19:35+00:00,848887708411887616,@Absa i.e. there should be available funds. I then have to deal with call centre personnel who don't seem to know what's going on....,AndrewRPoole,0,0,0,absa,ie there should be available funds i then have to deal with call centre personnel who dont seem to know what going on,negative,non-hate,non-offensive,daily_life
2022-12-10 07:09:43+00:00,1601474225474134016,@Nedbank @JoinUsForTEA on my way there😘👌❤️,Mygifttalks,0,0,0,nedbank,on my way there,neutral,non-hate,non-offensive,daily_life
2019-01-24 06:53:58+00:00,1088329043508973568,"The first 1,000 days of a child’s life are critical! Help me spread the word about programs like @Nedbank’s Child Development and Survival programme that make sure parents are informed. https://t.co/WVO77c9shT",tbaybieh,0,0,0,nedbank,the first days of a childs life are critical help me spread the word about programs like child development and survival programme that make sure parents are informed,neutral,non-hate,non-offensive,daily_life
2017-12-04 11:24:47+00:00,937643841527656448,"FNB and the scammers started with R99 debits, now they've graduated to a whole R300... Trash https://t.co/hq1Ji2ylKh",Ntsika_,2,0,2,fnb,fnb and the scammers started with r debits now theyve graduated to a whole r trash,negative,non-hate,offensive,business_&_entrepreneurs
2020-07-09 07:37:30+00:00,1281130341734977541,How do smart firms tackle regulations? ABSA integrated FIS’ Front Arena trading and order management system with FIS’ Adaptiv risk management platform. The combined solutions intelligently optimize management of data and market risk. https://t.co/fGBXlQp6iG https://t.co/gcSgkJzhKA,MartinBoyd_FIS,0,1,3,absa,how do smart firms tackle regulations absa integrated fis front arena trading and order management system with fis adaptiv risk management platform the combined solutions intelligently optimize management of data and market risk,neutral,non-hate,non-offensive,business_&_entrepreneurs
2022-08-05 19:37:10+00:00,1555639064963039234,"@robertmarawa @CapeTownCityFC @Masandawana Yoh this could hv been handled better. Clearly Fnb getting in PSL is a good thing. Must be handled with due diplomacy if there administrative issues. Egos aside, let's ensure Fnb feels welcome.... KBY",Sfiso24526171,0,1,7,fnb,yoh this could hv been handled better clearly fnb getting in psl is a good thing must be handled with due diplomacy if there administrative issues egos aside let ensure fnb feels welcome kby,positive,non-hate,non-offensive,sports_&_gaming
2019-06-16 02:29:36+00:00,1140083978751422466,@keene_ntesang @mash_iie I'm patiently waiting for it to expire. Funny how standard bank sent an SMS about renewing my card. It's like they don't realise I last used it two years ago,OOhnuh,1,0,1,standard_bank,im patiently waiting for it to expire funny how standard bank sent an sms about renewing my card it like they dont realise i last used it two years ago,neutral,non-hate,non-offensive,business_&_entrepreneurs
2022-02-04 15:03:36+00:00,1489615628927488007,"🚨Starting XI🚨

⚽ Richards Bay FC Vs Mamelodi Sundowns 
🏆 Nedbank Cup Last 32 
🏟 Princess Magogo Stadium 

#Sundowns #NedbankCup https://t.co/De0c0yecKs https://t.co/gLQq1j5H80",dj_msentySA,0,0,0,nedbank,starting xi richards bay fc vs mamelodi sundowns nedbank cup last princess magogo stadium,neutral,non-hate,non-offensive,sports_&_gaming
2012-02-17 11:00:07+00:00,170462524976803841,@Rob_Vember Interesting viewpoint. Thanks for this perspective on things. #FNB,Rb__sa,0,0,0,fnb,interesting viewpoint thanks for this perspective on things,positive,non-hate,non-offensive,daily_life
2016-01-28 14:14:53+00:00,692712452761452544,@MasterPontsho All done :),Nedbank,0,0,0,nedbank,all done,neutral,non-hate,non-offensive,daily_life
2021-11-04 15:57:59+00:00,1456289630765162496,"@AbsaSouthAfrica #ICanWithAbsa I will be spending time with my 2 daughters it been a while since I spoiled them so this summer is all about spoiling them...(we will go to the beach, I will also arrange a trip to the park nearby andexplore new things)😊😊 https://t.co/6pe0QOtMmB",clyndawonde,0,0,0,absa,i will be spending time with my daughters it been a while since i spoiled them so this summer is all about spoiling themwe will go to the beach i will also arrange a trip to the park nearby andexplore new things,positive,non-hate,non-offensive,daily_life
2018-01-31 10:33:02+00:00,958649315127365633,#Stellenbosch movie night. Wolf of Wall Street and The Big Short. #Steinhoff #Capitec https://t.co/vJNAQmOmcX,wynand_viljoen,0,0,0,capitec,movie night wolf of wall street and the big short,neutral,non-hate,non-offensive,pop_culture
2022-08-04 19:02:16+00:00,1555267896447729665,@Nedbank “Nedbank can’t be messaged”,Glow_Reeya,1,0,1,nedbank,nedbank cant be messaged,neutral,non-hate,non-offensive,business_&_entrepreneurs
2015-03-14 17:19:50+00:00,576794880799739904,"TODAY! After #C51DayOfAction break bread with #FNB out front of McDonald's. London, Ont. https://t.co/xvTZmr5DKj",PRUradio,0,2,0,fnb,today after break bread with out front of mcdonald london ont,neutral,non-hate,non-offensive,daily_life
2017-03-02 10:55:14+00:00,837254968541327360,@FNBSA @AkaniBvuma what makes the free take unique from normal savings products,AkaniBvuma,1,0,0,fnb,what makes the free take unique from normal savings products,neutral,non-hate,non-offensive,business_&_entrepreneurs
2021-01-24 04:53:58+00:00,1353204372247900163,"CVV changes every hour?  @FNBSA , anyways, I think it's more secure than my physical card.",sir_ngcobo,1,0,0,fnb,cvv changes every hour anyways i think it more secure than my physical card,neutral,non-hate,non-offensive,science_&_technology
2014-03-22 13:23:08+00:00,447362845626621952,Great to hear Owen Ndlovu on Ukhozi Fm #nedbank cup Platinum Stars vs Martziburg,Menelisi_N,0,0,0,nedbank,great to hear owen ndlovu on ukhozi fm cup platinum stars vs martziburg,positive,non-hate,non-offensive,sports_&_gaming
2022-04-27 10:13:43+00:00,1519258481068544002,@NothileThabethe @AbsaSouthAfrica All the best bestie 🥺🥺 #ICanWithAbsa #WeDoMoreWednesdays,_siphiwe_n,0,0,1,absa,all the best bestie,positive,non-hate,non-offensive,daily_life
2012-06-14 18:37:20+00:00,213339354142224384,Jabulani Absa Gaba wrote:  Crying is how your body speaks when your mouth cant explain the pain you feel..,khubunox,0,0,0,absa,jabulani absa gaba wrote crying is how your body speaks when your mouth cant explain the pain you feel,negative,non-hate,non-offensive,daily_life
2013-05-12 21:49:00+00:00,333700361254760448,"When @justinbieber says ""I've got good news &amp; I've got bad news"" #believetourmemories #FNB",My2_Melo,0,0,0,fnb,when says ive got good news amp ive got bad news,neutral,non-hate,non-offensive,daily_life
2015-10-22 16:33:25+00:00,657233307579621377,"Standard Bank, I've had enough. Your customer service is pathetic, It is time to move on",mikel4701,1,0,0,standard_bank,standard bank ive had enough your customer service is pathetic it is time to move on,negative,non-hate,offensive,business_&_entrepreneurs
2017-12-13 09:22:06+00:00,940874461364084737,Have you heard about Absa Game Changers? I'm now proudly one of them. Take a listen to my chat with Bongani Bingwa on @Radio702 https://t.co/RnTU3NXrNj,septimosandton,1,1,5,absa,have you heard about absa game changers im now proudly one of them take a listen to my chat with bongani bingwa on,positive,non-hate,non-offensive,sports_&_gaming
2020-03-23 20:19:00+00:00,1242184092021645319,@AbsaSouthAfrica I edge all south africans to take their money away from this mashonisa known as ABSA,Bruceles77,0,0,1,absa,i edge all south africans to take their money away from this mashonisa known as absa,negative,non-hate,non-offensive,daily_life
2016-10-11 02:55:36+00:00,785675187236646912,6 episodes out now on @tvnzondemand! That's toats enough to start binge-watching! #TGIF #FNB… https://t.co/hVfHlp2lGB,teamflat3,0,1,2,fnb,episodes out now on that toats enough to start bingewatching,neutral,non-hate,non-offensive,pop_culture
2022-03-23 06:49:25+00:00,1506523494791581699,"@NokwandaNgobeni @AbsaSouthAfrica the voucher can be redeemed  
from Intercity or TravelStart #ICanWithAbsa #WeDoMoreWednesdays",_FentseM,1,0,1,absa,the voucher can be redeemed from intercity or travelstart,neutral,non-hate,non-offensive,business_&_entrepreneurs
2018-02-18 13:33:48+00:00,965217789463146496,"I could win R3000 from @Absa cause I chose to get Higher #Education info during #Budget2018. Want to win? Opt-in.
card://964078450159050754",mouksmooketsi,0,0,0,absa,i could win r from cause i chose to get higher info during want to win optin card,neutral,non-hate,non-offensive,business_&_entrepreneurs
2010-10-01 04:57:45+00:00,26051567078,"@fnb_saturn Yeah o: ! haha, and i was the first one to say happy bday(: p.s-dont forget that! lol",roceelette,0,0,0,fnb,yeah o haha and i was the first one to say happy bday psdont forget that lol,positive,non-hate,non-offensive,daily_life
2012-03-14 01:08:08+00:00,179735631088459776,Dr. Johnny James fina take us in lol  #absa,AlilDeb_WillDo,0,0,0,absa,dr johnny james fina take us in lol,neutral,non-hate,non-offensive,pop_culture
2021-09-26 23:08:25+00:00,1442264825355112452,"#Kenya7s  another bone for them
#Kenya7s #Absa #Africanacity",leokenya1_1,0,0,1,absa,another bone for them,negative,non-hate,non-offensive,sports_&_gaming
2013-12-10 09:13:36+00:00,410336484542005249,Come on nedbank please create a app for windows phone 8. You a great bank please don't fall behind #standardbank and #fnb #nedbank @Nedbank,chrischester23,1,0,0,fnb,come on nedbank please create a app for windows phone you a great bank please dont fall behind and,positive,non-hate,non-offensive,business_&_entrepreneurs
2020-09-15 08:06:43+00:00,1305780071647653888,"@Matome_Kay If other sporrs presenters were given the same preferences like Robert, it'll have been a different issue. Take Joseph P. Tsima @ikwekwezifm he tried to invite @Masandawana  after winning the league but he turned down and told that they are preparing for a Nedbank Cup final.",hudsonmbongwa,1,0,0,nedbank,if other sporrs presenters were given the same preferences like robert itll have been a different issue take joseph p tsima he tried to invite after winning the league but he turned down and told that they are preparing for a nedbank cup final,neutral,non-hate,non-offensive,sports_&_gaming
2021-03-24 07:40:14+00:00,1374627099525451776,"@Dowsky26 @AbsaSouthAfrica It’s that simple?! 

#ICanWithAbsa #WeDoMoreWednesdays",the_blackenese,0,0,0,absa,its that simple,neutral,non-hate,non-offensive,daily_life
2016-06-14 11:08:36+00:00,742675098654679040,Using my ebucks card for the 2nd time to fill up my tank. This card really works for me. Thanks @FNBSA !,Fern0073,1,0,0,fnb,using my ebucks card for the nd time to fill up my tank this card really works for me thanks,positive,non-hate,non-offensive,business_&_entrepreneurs
2015-04-10 05:58:22+00:00,586407855579729920,"And just like that, FNB loses its innovation leadership… 
 
Standard Bank debuts TouchID banking http://t.co/0UUxItAGXA",hiltontarrant,5,10,7,fnb,and just like that fnb loses its innovation leadership standard bank debuts touchid banking,negative,non-hate,non-offensive,business_&_entrepreneurs
2013-05-24 19:42:49+00:00,338017259568111616,"Lol at least Nedbank helped ""D RT @ImKhweziN: Love Nhlanhla.I forgave her for making Zahara wash the dishes n refusing to open a bank acc",Doof_star_07,0,0,0,nedbank,lol at least nedbank helped d love nhlanhlai forgave her for making zahara wash the dishes n refusing to open a bank acc,neutral,non-hate,non-offensive,daily_life
2020-09-05 08:58:41+00:00,1302169268772012033,Hau @FNBSA what happened to Bank your change?,Miss_Palee,1,0,1,fnb,hau what happened to bank your change,neutral,non-hate,non-offensive,business_&_entrepreneurs
2021-08-17 11:44:41+00:00,1427597244254101507,"@YonieVee Hi Vanessa, this could be related to a network issue as we are dependent on service providers in order for you to receive the email.",Nedbank,1,0,0,nedbank,hi vanessa this could be related to a network issue as we are dependent on service providers in order for you to receive the email,neutral,non-hate,non-offensive,science_&_technology
2012-09-27 11:01:35+00:00,251275388628647936,@CMHercules Woohoo! :),Nedbank,0,0,0,nedbank,woohoo,positive,non-hate,non-offensive,sports_&_gaming
2021-10-13 11:15:43+00:00,1448246066185478147,"@Special_Agent47 Hi Agent, we're saddened to hear about this experience :( Please send us a private message with your details so that we may assist you further. https://t.co/YmCt2JeH7f",Nedbank,0,0,0,nedbank,hi agent were saddened to hear about this experience please send us a private message with your details so that we may assist you further,negative,non-hate,non-offensive,business_&_entrepreneurs
2015-10-01 08:01:14+00:00,649494264666263552,Is the #standardbank website down again?,TimLaithwaite,1,0,0,standard_bank,is the website down again,negative,non-hate,non-offensive,science_&_technology
2019-06-01 10:55:22+00:00,1134775440839716869,Guests play another online quiz. The quiz challenges a person's financial decisions in a given scenario. #FNBGameChangers #SponsoredContent @FNBSA,SundayTribuneSA,0,0,1,fnb,guests play another online quiz the quiz challenges a person financial decisions in a given scenario,neutral,non-hate,non-offensive,business_&_entrepreneurs
2013-09-05 11:58:23+00:00,375588719295987713,"The past 6years with Standard Bank have been pretty awesome no problems  ""@KiKii_G: Nedbank vs. FNB vs. Standard Bank ?""",Simpr3a,0,0,0,fnb,the past years with standard bank have been pretty awesome no problems nedbank vs fnb vs standard bank,positive,non-hate,non-offensive,business_&_entrepreneurs
2011-11-08 02:32:05+00:00,133733497041977344,"Hollow Red Candles – FMD, FMO, FNB, FNF, FOF http://t.co/MryI3QHA",Axmxso,0,0,0,fnb,hollow red candles fmd fmo fnb fnf fof,neutral,non-hate,non-offensive,daily_life
2017-12-22 10:49:55+00:00,944158050214141953,absa forex rates exchange https://t.co/EBaPDeOgLs,DDPhinz57,0,0,0,absa,absa forex rates exchange,neutral,non-hate,non-offensive,business_&_entrepreneurs
2014-07-01 13:01:27+00:00,483958564076400641,Trust Absa to have 2 Tellers and over 50 Customers Queuing -______-,IamExclusiv,0,0,0,absa,trust absa to have tellers and over customers queuing,neutral,non-hate,non-offensive,daily_life
2011-12-02 18:43:19+00:00,142675226625441792,Graeme McDowell takes the lead after birdying the last hole at the Nedbank Golf Challenge in Sun City http://t.co/4AKtpeBs,GolfScreener,0,0,0,nedbank,graeme mcdowell takes the lead after birdying the last hole at the nedbank golf challenge in sun city,neutral,non-hate,non-offensive,sports_&_gaming
2020-10-12 19:40:05+00:00,1315739033805426696,FNB's online banking platform is awesome. I may never have to step into a branch anymore 😎.,shixupulo91,1,0,0,fnb,fnb online banking platform is awesome i may never have to step into a branch anymore,positive,non-hate,non-offensive,business_&_entrepreneurs
2022-11-06 13:03:01+00:00,1589241947016859648,"🔥 🔥 Hot listing! Banking Litigation Secretary (foreclosures Standard Bank) in Pretoria, Gauteng. Check out the link for details 👉 https://t.co/TrUAQVrbKr #jobopening #resumetips #jobvacancy #jobAdvice #resumeadvice",joblify_app,0,1,0,standard_bank,hot listing banking litigation secretary foreclosures standard bank in pretoria gauteng check out the link for details,neutral,non-hate,non-offensive,business_&_entrepreneurs
2012-11-28 07:16:37+00:00,273686819806273537,"@trevormeisel Hi, please let us know how we can assist you?",AbsaSouthAfrica,0,0,0,absa,hi please let us know how we can assist you,neutral,non-hate,non-offensive,business_&_entrepreneurs
2021-09-02 10:11:47+00:00,1433372074366623746,"@StandardBankZA i would like to give a shout out to Ms Pearl at Standard bank NewMarket branch for her excellent customer service, she was able to resolved my account issue within 5mins.",Mel_Zola8,0,2,0,standard_bank,i would like to give a shout out to ms pearl at standard bank newmarket branch for her excellent customer service she was able to resolved my account issue within mins,positive,non-hate,non-offensive,business_&_entrepreneurs
2022-06-17 17:09:06+00:00,1537844798610190337,The equality court granted @SekunjaloGroup an urgent interdict preventing @Nedbank from closing the groups bank accounts. #Sekunjalo #RightToBank #IqbalSurve,CapeTimesSA,0,0,0,nedbank,the equality court granted an urgent interdict preventing from closing the groups bank accounts,neutral,non-hate,non-offensive,business_&_entrepreneurs
2020-12-16 09:05:03+00:00,1339134435309072384,"Okay, but look at my virtual bank balance? From rags to riches hunnnnyyyy! Where my haters at? 😌😎 
Okay but also did you guys know about this actual cashback thing? I love this Absa 🤞🏽🥺 https://t.co/y4XzFZX3nm",Audriinah_,1,5,0,absa,okay but look at my virtual bank balance from rags to riches hunnnnyyyy where my haters at okay but also did you guys know about this actual cashback thing i love this absa,positive,non-hate,non-offensive,business_&_entrepreneurs
2012-06-08 09:43:38+00:00,211030718657200128,FNB :) From 1 July '12 your monthly account fee is R97. Unlimited card swipes with a Cheque Card &amp; 4 free FNB ATM cash withdrawals included,onthatile_s,1,0,0,fnb,fnb from july your monthly account fee is r unlimited card swipes with a cheque card amp free fnb atm cash withdrawals included,neutral,non-hate,non-offensive,business_&_entrepreneurs
2016-11-24 07:03:09+00:00,801682553073713152,"With #EveryCentCounts &amp; @FNBSA, stand to win your share of R5000. Ts&amp;Cs apply https://t.co/it1CgMXoFv 
https://t.co/GNYlaYXfve",ElizeFerreira4,1,0,0,fnb,with amp stand to win your share of r tsampcs apply,neutral,non-hate,non-offensive,business_&_entrepreneurs
2021-09-03 15:58:49+00:00,1433821792347492353,"@Murkymothtea Yes pretty please, here my Sapphire Absa !
19A5-DC9B-9187-0F52-BA69-6982-A0DC-FF8D https://t.co/g6Eba6oUy9",EivelSapphire,0,0,2,absa,yes pretty please here my sapphire absa adcbfbaadcffd,positive,non-hate,non-offensive,daily_life
2021-05-11 13:23:52+00:00,1392108195976450053,@FNBSA Awesome!!!,gertz25,1,0,0,fnb,awesome,positive,non-hate,non-offensive,daily_life
2022-12-29 07:41:28+00:00,1608367581152546816,@CapitecBankSA Hey what's the Swift code for capitec ?,Khetha27154512,2,0,0,capitec,hey what the swift code for capitec,neutral,non-hate,non-offensive,business_&_entrepreneurs
2017-12-26 18:01:15+00:00,945716151442661376,@TheLooz @FNBSA @sheena_ostjon here's something to consider,tumisole,1,0,2,fnb,here something to consider,neutral,non-hate,non-offensive,sports_&_gaming
2015-06-04 08:49:02+00:00,606382138255122432,@Tom_18Yards We apologise for the level of service received at our branch. Pls give us more info as to what had happened.  2/2 ^RM,AbsaSouthAfrica,0,0,0,absa,we apologise for the level of service received at our branch pls give us more info as to what had happened rm,negative,non-hate,non-offensive,daily_life
2012-03-24 08:52:00+00:00,183476247114952704,"Kekana tells http://t.co/w8k3CE5k magazine that Sundowns have the capacity to win the double, which is Nedbank cup &amp; the league.",Sundowns_Fans,0,0,0,nedbank,kekana tells magazine that sundowns have the capacity to win the double which is nedbank cup amp the league,neutral,non-hate,non-offensive,sports_&_gaming
2021-08-25 10:46:19+00:00,1430481660177440776,"#AD | Woolies and ABSA said, tshwara tao and go clear your Woolies cart. We both know that indoda could never, now head over to @AbsaSouthAfrica and enter the competition. #WeDoMoreWednesdays #ICanWithAbsa #ICanWithAbsaDrive #wooliescares",_TumiiM,4,14,3,absa,woolies and absa said tshwara tao and go clear your woolies cart we both know that indoda could never now head over to and enter the competition,neutral,non-hate,non-offensive,sports_&_gaming
2017-11-28 07:08:49+00:00,935405099165380609,@larryrealmusic @CassperNyovest Making us feel we should change nationality to FillUp Fnb Stadium #IssaPlan,marvin_kaks,0,1,1,fnb,making us feel we should change nationality to fillup fnb stadium,neutral,non-hate,non-offensive,sports_&_gaming
